#! Accepted divergences from conformance/builtin-arity.tsv.
#! Every row needs a reason, and only two kinds may appear:
#! `zeo-only` (zeo defines a method CRuby has nowhere in the chain) and
#! `oracle-missing` (the dump could not reach the class at all). An arity
#! that simply disagrees with the oracle is a BUG in the parameter list --
#! it fails the test and cannot be recorded here. Regenerate with
#! `ZEO_BLESS=1 cargo nextest run -p zeo --test builtin_arity`.
#! tag	class	kind	name	reason
oracle-missing	FFI::Pointer	i	read_int64	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_int8	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_long_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_pointer	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_short	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_string	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_uchar	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_uint	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_uint16	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_uint32	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_uint64	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_uint8	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_ulong	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_ulong_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	read_ushort	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	size	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	size_limit?	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	slice	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	to_i	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	to_ptr	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	total	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_array_of_double	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_array_of_float	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_array_of_int	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_array_of_int16	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_array_of_int32	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_array_of_int64	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_array_of_int8	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_array_of_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_bytes	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_char	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_double	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_float	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_int	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_int16	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_int32	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_int64	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_int8	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_long_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_pointer	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_short	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_uchar	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_uint	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_uint16	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_uint32	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_uint64	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_uint8	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_ulong	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_ulong_long	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	i	write_ushort	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Pointer	s	new	FFI::Pointer is absent from the pinned oracle
oracle-missing	FFI::Type	i	==	FFI::Type is absent from the pinned oracle
oracle-missing	FFI::Type	i	alignment	FFI::Type is absent from the pinned oracle
oracle-missing	FFI::Type	i	eql?	FFI::Type is absent from the pinned oracle
oracle-missing	FFI::Type	i	size	FFI::Type is absent from the pinned oracle
oracle-missing	FFI::VariadicInvoker	i	call	FFI::VariadicInvoker is absent from the pinned oracle
oracle-missing	FFI::VariadicInvoker	s	new	FFI::VariadicInvoker is absent from the pinned oracle
oracle-missing	Prism::Zeo	s	parse_success?	Prism::Zeo is absent from the pinned oracle
oracle-missing	Prism::Zeo	s	serialize_lex	Prism::Zeo is absent from the pinned oracle
oracle-missing	Prism::Zeo	s	serialize_parse	Prism::Zeo is absent from the pinned oracle
oracle-missing	Prism::Zeo	s	serialize_parse_comments	Prism::Zeo is absent from the pinned oracle
oracle-missing	Prism::Zeo	s	serialize_parse_lex	Prism::Zeo is absent from the pinned oracle
oracle-missing	Prism::Zeo	s	version	Prism::Zeo is absent from the pinned oracle
